second,Volt,Volt
-46.2000E-03,+2.7064453E+00,+30.5359E-03
-46.0000E-03,+2.7230469E+00,+34.6375E-03
-45.8000E-03,+2.7386719E+00,+38.5438E-03
-45.6000E-03,+2.7542969E+00,+42.8406E-03
-45.4000E-03,+2.7689453E+00,+46.9422E-03
-45.2000E-03,+2.7845703E+00,+51.0438E-03
-45.0000E-03,+2.7982422E+00,+55.1453E-03
-44.8000E-03,+2.8119141E+00,+59.0516E-03
-44.6000E-03,+2.8255860E+00,+63.1531E-03
-44.4000E-03,+2.8382813E+00,+67.0594E-03
-44.2000E-03,+2.8500000E+00,+70.7703E-03
-44.0000E-03,+2.8607422E+00,+74.4813E-03
-43.8000E-03,+2.8724610E+00,+78.1922E-03
-43.6000E-03,+2.8822266E+00,+82.0984E-03
-43.4000E-03,+2.8919922E+00,+86.2000E-03
-43.2000E-03,+2.9017578E+00,+90.3016E-03
-43.0000E-03,+2.9115235E+00,+94.2078E-03
-42.8000E-03,+2.9203125E+00,+97.9188E-03
-42.6000E-03,+2.9281250E+00,+101.8250E-03
-42.4000E-03,+2.9359375E+00,+105.7313E-03
-42.2000E-03,+2.9437500E+00,+109.6375E-03
-42.0000E-03,+2.9505860E+00,+113.5438E-03
-41.8000E-03,+2.9564453E+00,+117.2547E-03
-41.6000E-03,+2.9623047E+00,+121.1609E-03
-41.4000E-03,+2.9671875E+00,+125.0672E-03
-41.2000E-03,+2.9710938E+00,+128.9734E-03
-41.0000E-03,+2.9759766E+00,+132.6844E-03
-40.8000E-03,+2.9798828E+00,+136.7859E-03
-40.6000E-03,+2.9837891E+00,+140.4969E-03
-40.4000E-03,+2.9857422E+00,+144.4031E-03
-40.2000E-03,+2.9876953E+00,+148.3094E-03
-40.0000E-03,+2.9886719E+00,+151.8250E-03
-39.8000E-03,+2.9906250E+00,+155.5359E-03
-39.6000E-03,+2.9916016E+00,+159.2469E-03
-39.4000E-03,+2.9916016E+00,+162.7625E-03
-39.2000E-03,+2.9906250E+00,+166.0828E-03
-39.0000E-03,+2.9906250E+00,+169.2078E-03
-38.8000E-03,+2.9896485E+00,+172.5281E-03
-38.6000E-03,+2.9876953E+00,+175.8484E-03
-38.4000E-03,+2.9847656E+00,+178.9734E-03
-38.2000E-03,+2.9818360E+00,+182.0984E-03
-38.0000E-03,+2.9779297E+00,+185.0281E-03
-37.8000E-03,+2.9740235E+00,+187.7625E-03
-37.6000E-03,+2.9701172E+00,+190.6922E-03
-37.4000E-03,+2.9642578E+00,+193.4266E-03
-37.2000E-03,+2.9593750E+00,+195.9656E-03
-37.0000E-03,+2.9525391E+00,+198.7000E-03
-36.8000E-03,+2.9466797E+00,+200.8484E-03
-36.6000E-03,+2.9398438E+00,+203.1922E-03
-36.4000E-03,+2.9320313E+00,+205.3406E-03
-36.2000E-03,+2.9242188E+00,+207.4891E-03
-36.0000E-03,+2.9154297E+00,+209.6375E-03
-35.8000E-03,+2.9066406E+00,+211.3953E-03
-35.6000E-03,+2.8968750E+00,+213.1531E-03
-35.4000E-03,+2.8861328E+00,+214.9109E-03
-35.2000E-03,+2.8773438E+00,+216.4734E-03
-35.0000E-03,+2.8666016E+00,+218.2313E-03
-34.8000E-03,+2.8548828E+00,+219.9891E-03
-34.6000E-03,+2.8431641E+00,+221.3563E-03
-34.4000E-03,+2.8314453E+00,+223.1141E-03
-34.2000E-03,+2.8177735E+00,+224.4813E-03
-34.0000E-03,+2.8041016E+00,+225.4578E-03
-33.8000E-03,+2.7904297E+00,+226.6297E-03
-33.6000E-03,+2.7767578E+00,+227.2156E-03
-33.4000E-03,+2.7611328E+00,+227.9969E-03
-33.2000E-03,+2.7474610E+00,+228.5828E-03
-33.0000E-03,+2.7308594E+00,+228.9734E-03
-32.8000E-03,+2.7142578E+00,+229.3641E-03
-32.6000E-03,+2.6976563E+00,+229.5594E-03
