Acquired on 5/10/2022 at 15:41:28
Calibrated on 5/10/2022 at 15:36:33
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB/mm)	
-2.21900535E+000	-9.92921151E+001	
-2.19829204E+000	-9.91608185E+001	
-2.17757874E+000	-9.99634774E+001	
-2.15686543E+000	-9.91171329E+001	
-2.13615213E+000	-1.00481747E+002	
-2.11543882E+000	-9.85829133E+001	
-2.09472552E+000	-9.82470682E+001	
-2.07401221E+000	-1.00204787E+002	
-2.05329891E+000	-9.79188231E+001	
-2.03258560E+000	-9.96508621E+001	
-2.01187229E+000	-1.00134224E+002	
-1.99115899E+000	-9.93364249E+001	
-1.97044568E+000	-9.95494494E+001	
-1.94973238E+000	-9.82422088E+001	
-1.92901907E+000	-9.99405422E+001	
-1.90830577E+000	-9.96674071E+001	
-1.88759246E+000	-9.90265431E+001	
-1.86687916E+000	-9.92615952E+001	
-1.84616585E+000	-9.95791097E+001	
-1.82545255E+000	-9.78496303E+001	
-1.80473924E+000	-9.85818526E+001	
-1.78402594E+000	-1.01023428E+002	
-1.76331263E+000	-9.88198254E+001	
-1.74259933E+000	-9.85844910E+001	
-1.72188602E+000	-9.90194370E+001	
-1.70117272E+000	-9.90482659E+001	
-1.68045941E+000	-9.89914388E+001	
-1.65974610E+000	-9.85931630E+001	
-1.63903280E+000	-9.96296700E+001	
-1.61831949E+000	-1.00485519E+002	
-1.59760619E+000	-9.84769930E+001	
-1.57689288E+000	-9.96889464E+001	
-1.55617958E+000	-9.88867539E+001	
-1.53546627E+000	-1.00725023E+002	
-1.51475297E+000	-9.94634320E+001	
-1.49403966E+000	-9.78545985E+001	
-1.47332636E+000	-1.00915005E+002	
-1.45261305E+000	-1.00299748E+002	
-1.43189975E+000	-9.84602520E+001	
-1.41118644E+000	-9.93523513E+001	
-1.39047314E+000	-9.92412656E+001	
-1.36975983E+000	-1.00240209E+002	
-1.34904652E+000	-9.98138076E+001	
-1.32833322E+000	-9.83885693E+001	
-1.30761991E+000	-9.91923999E+001	
-1.28690661E+000	-9.98851232E+001	
-1.26619330E+000	-9.94412970E+001	
-1.24548000E+000	-9.92083105E+001	
-1.22476669E+000	-9.85868234E+001	
-1.20405339E+000	-9.97130961E+001	
-1.18334008E+000	-9.85980381E+001	
-1.16262678E+000	-9.86591010E+001	
-1.14191347E+000	-1.00722822E+002	
-1.12120017E+000	-9.83036056E+001	
-1.10048686E+000	-9.88990250E+001	
-1.07977356E+000	-9.82511179E+001	
-1.05906025E+000	-9.97377054E+001	
-1.03834694E+000	-9.88012360E+001	
-1.01763364E+000	-1.00451489E+002	
-9.96920334E-001	-1.00034296E+002	
-9.76207029E-001	-9.90879316E+001	
-9.55493724E-001	-9.84345834E+001	
-9.34780418E-001	-1.00097201E+002	
-9.14067113E-001	-9.97709963E+001	
-8.93353808E-001	-9.96821104E+001	
-8.72640502E-001	-9.97294572E+001	
-8.51927197E-001	-9.85364849E+001	
-8.31213892E-001	-1.00244166E+002	
-8.10500586E-001	-9.90982710E+001	
-7.89787281E-001	-9.88913109E+001	
-7.69073976E-001	-9.86352698E+001	
-7.48360671E-001	-9.67286658E+001	
-7.27647365E-001	-9.88592989E+001	
-7.06934060E-001	-9.99836892E+001	
-6.86220755E-001	-9.94064586E+001	
-6.65507449E-001	-9.95493271E+001	
-6.44794144E-001	-9.92201793E+001	
-6.24080839E-001	-9.87810696E+001	
-6.03367533E-001	-9.96810605E+001	
-5.82654228E-001	-9.93387963E+001	
-5.61940923E-001	-9.98329562E+001	
-5.41227617E-001	-1.00586220E+002	
-5.20514312E-001	-9.91777379E+001	
-4.99801007E-001	-9.99311262E+001	
-4.79087701E-001	-9.89805049E+001	
-4.58374396E-001	-9.94871506E+001	
-4.37661091E-001	-1.01415384E+002	
-4.16947785E-001	-9.95538580E+001	
-3.96234480E-001	-9.94057665E+001	
-3.75521175E-001	-9.94622526E+001	
-3.54807869E-001	-9.87747303E+001	
-3.34094564E-001	-9.87899285E+001	
-3.13381259E-001	-9.78352118E+001	
-2.92667954E-001	-9.93600655E+001	
-2.71954648E-001	-9.87134480E+001	
-2.51241343E-001	-1.00151562E+002	
-2.30528038E-001	-9.91947471E+001	
-2.09814732E-001	-9.88374931E+001	
-1.89101427E-001	-9.97271457E+001	
-1.68388122E-001	-9.92685262E+001	
-1.47674816E-001	-9.84698101E+001	
-1.26961511E-001	-1.00111747E+002	
-1.06248206E-001	-9.91930989E+001	
-8.55349003E-002	-1.00382391E+002	
-6.48215950E-002	-1.00058202E+002	
-4.41082897E-002	-9.90468135E+001	
-2.33949844E-002	-9.83242623E+001	
-2.68167905E-003	-6.18018914E+001	
1.80316263E-002	-9.80891460E+001	
3.87449316E-002	-9.92147384E+001	
5.94582369E-002	-9.86968677E+001	
8.01715422E-002	-9.94990709E+001	
1.00884848E-001	-9.88587131E+001	
1.21598153E-001	-9.88640473E+001	
1.42311458E-001	-9.81286662E+001	
1.63024763E-001	-9.79474788E+001	
1.83738069E-001	-9.93130897E+001	
2.04451374E-001	-9.87315123E+001	
2.25164679E-001	-9.88460189E+001	
2.45877985E-001	-9.98308002E+001	
2.66591290E-001	-9.94052431E+001	
2.87304595E-001	-9.82244676E+001	
3.08017901E-001	-1.00457251E+002	
3.28731206E-001	-9.83697446E+001	
3.49444511E-001	-1.00458482E+002	
3.70157817E-001	-9.74958669E+001	
3.90871122E-001	-9.97750070E+001	
4.11584427E-001	-9.70930222E+001	
4.32297733E-001	-9.89341165E+001	
4.53011038E-001	-9.95351173E+001	
4.73724343E-001	-9.84368097E+001	
4.94437649E-001	-9.87678696E+001	
5.15150954E-001	-9.93980672E+001	
5.35864259E-001	-9.94135504E+001	
5.56577565E-001	-9.96857971E+001	
5.77290870E-001	-9.89200573E+001	
5.98004175E-001	-9.84983430E+001	
6.18717481E-001	-9.81621104E+001	
6.39430786E-001	-9.95928299E+001	
6.60144091E-001	-9.84346498E+001	
6.80857396E-001	-9.80416383E+001	
7.01570702E-001	-9.84929411E+001	
7.22284007E-001	-9.87557441E+001	
7.42997312E-001	-9.76960968E+001	
7.63710618E-001	-9.89620569E+001	
7.84423923E-001	-1.00136562E+002	
8.05137228E-001	-9.91657772E+001	
8.25850534E-001	-9.96128920E+001	
8.46563839E-001	-9.85037035E+001	
8.67277144E-001	-9.87417448E+001	
8.87990450E-001	-9.83585444E+001	
9.08703755E-001	-9.82435716E+001	
9.29417060E-001	-9.82774860E+001	
9.50130366E-001	-9.82537559E+001	
9.70843671E-001	-9.89159694E+001	
9.91556976E-001	-9.81548151E+001	
1.01227028E+000	-9.91503450E+001	
1.03298359E+000	-9.85674566E+001	
1.05369689E+000	-9.96745593E+001	
1.07441020E+000	-9.86005341E+001	
1.09512350E+000	-9.94986622E+001	
1.11583681E+000	-9.74106586E+001	
1.13655011E+000	-9.98652190E+001	
1.15726342E+000	-9.88402895E+001	
1.17797672E+000	-9.86565226E+001	
1.19869003E+000	-9.90470217E+001	
1.21940333E+000	-9.82709210E+001	
1.24011664E+000	-9.91147763E+001	
1.26082995E+000	-9.83943134E+001	
1.28154325E+000	-9.93780072E+001	
1.30225656E+000	-9.85006655E+001	
1.32296986E+000	-9.97233363E+001	
1.34368317E+000	-9.82504817E+001	
1.36439647E+000	-9.83102480E+001	
1.38510978E+000	-9.92245561E+001	
1.40582308E+000	-1.00043997E+002	
1.42653639E+000	-9.84354643E+001	
1.44724969E+000	-9.80654302E+001	
1.46796300E+000	-9.82465429E+001	
1.48867630E+000	-9.92894754E+001	
1.50938961E+000	-9.84667624E+001	
1.53010291E+000	-9.85136596E+001	
1.55081622E+000	-9.88441612E+001	
1.57152953E+000	-9.80325137E+001	
1.59224283E+000	-9.85492216E+001	
1.61295614E+000	-9.81747547E+001	
1.63366944E+000	-9.90450483E+001	
1.65438275E+000	-9.86232021E+001	
1.67509605E+000	-9.90551814E+001	
1.69580936E+000	-9.79522667E+001	
1.71652266E+000	-9.79937731E+001	
1.73723597E+000	-9.92714668E+001	
1.75794927E+000	-9.87292795E+001	
1.77866258E+000	-9.85409642E+001	
1.79937588E+000	-9.76132246E+001	
1.82008919E+000	-9.81986212E+001	
1.84080249E+000	-9.76658983E+001	
1.86151580E+000	-9.95365017E+001	
1.88222910E+000	-9.92026901E+001	
1.90294241E+000	-9.99200772E+001	
1.92365572E+000	-9.90148640E+001	
1.94436902E+000	-9.89446617E+001	
1.96508233E+000	-9.81456894E+001	
1.98579563E+000	-9.91516716E+001	
2.00650894E+000	-9.84269065E+001	
2.02722224E+000	-9.97314437E+001	
2.04793555E+000	-9.77383960E+001	
2.06864885E+000	-9.77736336E+001	
2.08936216E+000	-9.74360358E+001	
2.11007546E+000	-9.84016171E+001	
2.13078877E+000	-9.87501163E+001	
2.15150207E+000	-9.96895807E+001	
2.17221538E+000	-9.88414492E+001	
2.19292868E+000	-9.88033087E+001	
2.21364199E+000	-9.79975832E+001	
2.23435530E+000	-9.85931356E+001	
2.25506860E+000	-9.84265995E+001	
2.27578191E+000	-9.79868402E+001	
2.29649521E+000	-9.92785803E+001	
2.31720852E+000	-9.99737573E+001	
2.33792182E+000	-9.81487184E+001	
2.35863513E+000	-9.86677089E+001	
2.37934843E+000	-9.91528811E+001	
2.40006174E+000	-9.84143250E+001	
2.42077504E+000	-9.81630959E+001	
2.44148835E+000	-9.79682661E+001	
2.46220165E+000	-9.89817133E+001	
2.48291496E+000	-9.82833081E+001	
2.50362826E+000	-9.85265985E+001	
2.52434157E+000	-9.92941741E+001	
2.54505488E+000	-9.97606031E+001	
2.56576818E+000	-9.90807241E+001	
2.58648149E+000	-9.86336688E+001	
2.60719479E+000	-9.96100439E+001	
2.62790810E+000	-9.91045741E+001	
2.64862140E+000	-9.93149368E+001	
2.66933471E+000	-9.88974121E+001	
2.69004801E+000	-9.88525275E+001	
2.71076132E+000	-9.89418350E+001	
2.73147462E+000	-9.89872273E+001	
2.75218793E+000	-9.87393352E+001	
2.77290123E+000	-1.00415432E+002	
2.79361454E+000	-9.87976872E+001	
2.81432784E+000	-9.82384142E+001	
2.83504115E+000	-9.97801244E+001	
2.85575445E+000	-9.77865348E+001	
2.87646776E+000	-9.82334979E+001	
2.89718107E+000	-9.89499149E+001	
2.91789437E+000	-9.87453571E+001	
2.93860768E+000	-9.88173255E+001	
2.95932098E+000	-9.87240528E+001	
2.98003429E+000	-1.00433797E+002	
3.00074759E+000	-9.82493342E+001	
3.02146090E+000	-9.93761350E+001	
3.04217420E+000	-9.81529231E+001	
3.06288751E+000	-9.81156836E+001	
3.08360081E+000	-9.86507905E+001	
3.10431412E+000	-1.00512947E+002	
3.12502742E+000	-9.87769601E+001	
3.14574073E+000	-9.99169427E+001	
3.16645403E+000	-9.98179280E+001	
3.18716734E+000	-1.01161024E+002	
3.20788065E+000	-9.97689852E+001	
3.22859395E+000	-1.00025157E+002	
3.24930726E+000	-9.95251222E+001	
3.27002056E+000	-9.84334828E+001	
3.29073387E+000	-9.82135206E+001	
