second,Volt,Volt
-49.8000E-03,+3.6302500E+00,-137.1313E-03
-49.6000E-03,+3.6575937E+00,-127.7563E-03
-49.4000E-03,+3.6888437E+00,-118.7719E-03
-49.2000E-03,+3.7200937E+00,-109.7875E-03
-49.0000E-03,+3.7513437E+00,-100.8031E-03
-48.8000E-03,+3.7786875E+00,-91.0375E-03
-48.6000E-03,+3.8060312E+00,-81.6625E-03
-48.4000E-03,+3.8333750E+00,-71.8969E-03
-48.2000E-03,+3.8607187E+00,-63.3031E-03
-48.0000E-03,+3.8841562E+00,-53.1469E-03
-47.8000E-03,+3.9115000E+00,-44.1625E-03
-47.6000E-03,+3.9349375E+00,-34.7875E-03
-47.4000E-03,+3.9583750E+00,-25.8031E-03
-47.2000E-03,+3.9818125E+00,-16.4281E-03
-47.0000E-03,+4.0013437E+00,-6.2719E-03
-46.8000E-03,+4.0247812E+00,+3.8844E-03
-46.6000E-03,+4.0404062E+00,+13.2594E-03
-46.4000E-03,+4.0560312E+00,+22.6344E-03
-46.2000E-03,+4.0755625E+00,+31.6188E-03
-46.0000E-03,+4.0950937E+00,+40.9938E-03
-45.8000E-03,+4.1107187E+00,+50.7594E-03
-45.6000E-03,+4.1224375E+00,+59.7438E-03
-45.4000E-03,+4.1380625E+00,+69.5094E-03
-45.2000E-03,+4.1497812E+00,+78.4938E-03
-45.0000E-03,+4.1615000E+00,+87.0875E-03
-44.8000E-03,+4.1693125E+00,+95.6813E-03
-44.6000E-03,+4.1771250E+00,+105.4469E-03
-44.4000E-03,+4.1849375E+00,+114.8219E-03
-44.2000E-03,+4.1927500E+00,+124.1969E-03
-44.0000E-03,+4.2005625E+00,+133.5719E-03
-43.8000E-03,+4.2044687E+00,+143.3375E-03
-43.6000E-03,+4.2083750E+00,+153.1031E-03
-43.4000E-03,+4.2122812E+00,+162.0875E-03
-43.2000E-03,+4.2161875E+00,+171.0719E-03
-43.0000E-03,+4.2161875E+00,+180.4469E-03
-42.8000E-03,+4.2161875E+00,+189.0406E-03
-42.6000E-03,+4.2122812E+00,+197.6344E-03
-42.4000E-03,+4.2122812E+00,+206.2281E-03
-42.2000E-03,+4.2083750E+00,+214.8219E-03
-42.0000E-03,+4.2005625E+00,+223.4156E-03
-41.8000E-03,+4.1966562E+00,+232.4000E-03
-41.6000E-03,+4.1888437E+00,+241.3844E-03
-41.4000E-03,+4.1810312E+00,+249.1969E-03
-41.2000E-03,+4.1732187E+00,+257.7906E-03
-41.0000E-03,+4.1615000E+00,+265.9938E-03
-40.8000E-03,+4.1536875E+00,+274.1969E-03
-40.6000E-03,+4.1419687E+00,+281.6188E-03
-40.4000E-03,+4.1263437E+00,+290.2125E-03
-40.2000E-03,+4.1146250E+00,+297.6344E-03
-40.0000E-03,+4.0990000E+00,+304.6656E-03
-39.8000E-03,+4.0833750E+00,+311.6969E-03
-39.6000E-03,+4.0638437E+00,+318.7281E-03
-39.4000E-03,+4.0482187E+00,+325.7594E-03
-39.2000E-03,+4.0286875E+00,+332.4000E-03
-39.0000E-03,+4.0091562E+00,+338.6500E-03
-38.8000E-03,+3.9857187E+00,+344.5094E-03
-38.6000E-03,+3.9661875E+00,+350.7594E-03
-38.4000E-03,+3.9427500E+00,+356.2281E-03
-38.2000E-03,+3.9193125E+00,+361.3063E-03
-38.0000E-03,+3.8958750E+00,+366.3844E-03
-37.8000E-03,+3.8724375E+00,+371.0719E-03
-37.6000E-03,+3.8450937E+00,+375.7594E-03
-37.4000E-03,+3.8177500E+00,+380.0563E-03
-37.2000E-03,+3.7904062E+00,+383.9625E-03
-37.0000E-03,+3.7630625E+00,+387.8688E-03
-36.8000E-03,+3.7318125E+00,+390.9938E-03
-36.6000E-03,+3.7005625E+00,+394.1188E-03
-36.4000E-03,+3.6693125E+00,+396.8531E-03
-36.2000E-03,+3.6380625E+00,+399.5875E-03
-36.0000E-03,+3.6068125E+00,+401.9313E-03
-35.8000E-03,+3.5755625E+00,+404.2750E-03
-35.6000E-03,+3.5404062E+00,+406.2281E-03
-35.4000E-03,+3.5013437E+00,+407.7906E-03
-35.2000E-03,+3.4661875E+00,+408.9625E-03
-35.0000E-03,+3.4310312E+00,+410.1344E-03
-34.8000E-03,+3.3958750E+00,+410.5250E-03
-34.6000E-03,+3.3607187E+00,+410.9156E-03
-34.4000E-03,+3.3255625E+00,+410.5250E-03
-34.2000E-03,+3.2904062E+00,+410.5250E-03
-34.0000E-03,+3.2513437E+00,+409.7438E-03
-33.8000E-03,+3.2161875E+00,+408.5719E-03
-33.6000E-03,+3.1771250E+00,+407.4000E-03
-33.4000E-03,+3.1380625E+00,+405.0563E-03
-33.2000E-03,+3.0990000E+00,+403.4938E-03
-33.0000E-03,+3.0599375E+00,+401.1500E-03
-32.8000E-03,+3.0247812E+00,+398.4156E-03
-32.6000E-03,+2.9818125E+00,+395.6813E-03
-32.4000E-03,+2.9427500E+00,+392.9469E-03
-32.2000E-03,+2.9075937E+00,+389.4313E-03
-32.0000E-03,+2.8646250E+00,+385.5250E-03
-31.8000E-03,+2.8216562E+00,+381.6188E-03
-31.6000E-03,+2.7825937E+00,+377.3219E-03
-31.4000E-03,+2.7435312E+00,+372.6344E-03
-31.2000E-03,+2.7005625E+00,+367.9469E-03
-31.0000E-03,+2.6575937E+00,+363.2594E-03
-30.8000E-03,+2.6146250E+00,+357.7906E-03
-30.6000E-03,+2.5755625E+00,+352.3219E-03
-30.4000E-03,+2.5286875E+00,+346.0719E-03
-30.2000E-03,+2.4857187E+00,+340.2125E-03
-30.0000E-03,+2.4466562E+00,+333.5719E-03
-29.8000E-03,+2.4036875E+00,+326.9313E-03
-29.6000E-03,+2.3646250E+00,+319.9000E-03
-29.4000E-03,+2.3255625E+00,+312.8688E-03
-29.2000E-03,+2.2825937E+00,+305.8375E-03
-29.0000E-03,+2.2396250E+00,+298.0250E-03
-28.8000E-03,+2.1966562E+00,+290.6031E-03
-28.6000E-03,+2.1536875E+00,+282.7906E-03
-28.4000E-03,+2.1107187E+00,+274.1969E-03
-28.2000E-03,+2.0716562E+00,+265.6031E-03
-28.0000E-03,+2.0325937E+00,+257.4000E-03
-27.8000E-03,+1.9935312E+00,+248.8063E-03
-27.6000E-03,+1.9505625E+00,+240.2125E-03
-27.4000E-03,+1.9154062E+00,+231.6188E-03
-27.2000E-03,+1.8763437E+00,+222.6344E-03
-27.0000E-03,+1.8372812E+00,+213.2594E-03
-26.8000E-03,+1.8021250E+00,+205.0563E-03
-26.6000E-03,+1.7630625E+00,+196.0719E-03
-26.4000E-03,+1.7240000E+00,+187.8688E-03
-26.2000E-03,+1.6849375E+00,+178.8844E-03
-26.0000E-03,+1.6497812E+00,+169.1188E-03
-25.8000E-03,+1.6146250E+00,+160.5250E-03
-25.6000E-03,+1.5755625E+00,+150.7594E-03
-25.4000E-03,+1.5443125E+00,+141.3844E-03
-25.2000E-03,+1.5091562E+00,+131.6188E-03
-25.0000E-03,+1.4779062E+00,+122.2438E-03
-24.8000E-03,+1.4466562E+00,+112.4781E-03
-24.6000E-03,+1.4154062E+00,+103.4938E-03
-24.4000E-03,+1.3841562E+00,+94.5094E-03
-24.2000E-03,+1.3529062E+00,+86.3063E-03
-24.0000E-03,+1.3255625E+00,+77.7125E-03
-23.8000E-03,+1.2943125E+00,+69.1188E-03
-23.6000E-03,+1.2669687E+00,+60.1344E-03
-23.4000E-03,+1.2396250E+00,+51.1500E-03
-23.2000E-03,+1.2161875E+00,+41.7750E-03
-23.0000E-03,+1.1927500E+00,+32.4000E-03
-22.8000E-03,+1.1693125E+00,+23.8063E-03
-22.6000E-03,+1.1497812E+00,+14.8219E-03
-22.4000E-03,+1.1263437E+00,+5.8375E-03
-22.2000E-03,+1.1029062E+00,-3.9281E-03
-22.0000E-03,+1.0872812E+00,-13.3031E-03
-21.8000E-03,+1.0677500E+00,-22.6781E-03
-21.6000E-03,+1.0521250E+00,-30.8813E-03
-21.4000E-03,+1.0325937E+00,-39.0844E-03
-21.2000E-03,+1.0208750E+00,-47.6781E-03
-21.0000E-03,+1.0013437E+00,-57.0531E-03
-20.8000E-03,+989.6250E-03,-66.0375E-03
-20.6000E-03,+977.9062E-03,-74.2406E-03
-20.4000E-03,+966.1875E-03,-82.8344E-03
-20.2000E-03,+954.4687E-03,-91.4281E-03
-20.0000E-03,+942.7500E-03,-100.4125E-03
-19.8000E-03,+931.0312E-03,-109.0063E-03
-19.6000E-03,+923.2187E-03,-117.2094E-03
-19.4000E-03,+915.4062E-03,-125.4125E-03
-19.2000E-03,+907.5937E-03,-133.6156E-03
-19.0000E-03,+899.7812E-03,-141.8188E-03
-18.8000E-03,+895.8750E-03,-150.0219E-03
-18.6000E-03,+891.9687E-03,-158.2250E-03
-18.4000E-03,+888.0625E-03,-166.0375E-03
-18.2000E-03,+888.0625E-03,-173.8500E-03
-18.0000E-03,+884.1562E-03,-181.6625E-03
-17.8000E-03,+884.1562E-03,-189.0844E-03
-17.6000E-03,+884.1562E-03,-197.2875E-03
-17.4000E-03,+888.0625E-03,-204.7094E-03
-17.2000E-03,+891.9687E-03,-212.1313E-03
-17.0000E-03,+895.8750E-03,-219.5531E-03
-16.8000E-03,+903.6875E-03,-226.9750E-03
-16.6000E-03,+911.5000E-03,-233.6156E-03
-16.4000E-03,+919.3125E-03,-241.0375E-03
-16.2000E-03,+927.1250E-03,-247.6781E-03
-16.0000E-03,+938.8437E-03,-254.7094E-03
-15.8000E-03,+950.5625E-03,-261.7406E-03
-15.6000E-03,+958.3750E-03,-268.7719E-03
-15.4000E-03,+970.0937E-03,-275.4125E-03
-15.2000E-03,+985.7187E-03,-281.6625E-03
-15.0000E-03,+997.4375E-03,-287.9125E-03
-14.8000E-03,+1.0130625E+00,-294.1625E-03
-14.6000E-03,+1.0286875E+00,-300.0219E-03
-14.4000E-03,+1.0443125E+00,-305.8813E-03
-14.2000E-03,+1.0638437E+00,-311.3500E-03
-14.0000E-03,+1.0794687E+00,-316.0375E-03
-13.8000E-03,+1.0990000E+00,-321.5063E-03
-13.6000E-03,+1.1185312E+00,-326.1938E-03
-13.4000E-03,+1.1380625E+00,-331.2719E-03
-13.2000E-03,+1.1615000E+00,-335.9594E-03
-13.0000E-03,+1.1849375E+00,-340.2563E-03
-12.8000E-03,+1.2083750E+00,-344.9438E-03
-12.6000E-03,+1.2318125E+00,-348.8500E-03
-12.4000E-03,+1.2552500E+00,-353.5375E-03
-12.2000E-03,+1.2865000E+00,-357.4438E-03
-12.0000E-03,+1.3177500E+00,-361.3500E-03
-11.8000E-03,+1.3450937E+00,-364.4750E-03
-11.6000E-03,+1.3724375E+00,-367.6000E-03
-11.4000E-03,+1.4036875E+00,-370.7250E-03
-11.2000E-03,+1.4310312E+00,-373.4594E-03
-11.0000E-03,+1.4661875E+00,-376.1938E-03
-10.8000E-03,+1.4974375E+00,-378.1469E-03
-10.6000E-03,+1.5325937E+00,-380.4906E-03
-10.4000E-03,+1.5638437E+00,-382.4438E-03
-10.2000E-03,+1.5990000E+00,-384.3969E-03
-10.0000E-03,+1.6380625E+00,-385.5688E-03
-9.8000E-03,+1.6732187E+00,-386.3500E-03
-9.6000E-03,+1.7083750E+00,-386.7406E-03
-9.4000E-03,+1.7474375E+00,-387.5219E-03
-9.2000E-03,+1.7865000E+00,-387.5219E-03
-9.0000E-03,+1.8216562E+00,-388.3031E-03
-8.8000E-03,+1.8646250E+00,-387.1313E-03
-8.6000E-03,+1.9036875E+00,-386.7406E-03
-8.4000E-03,+1.9388437E+00,-385.9594E-03
-8.2000E-03,+1.9779062E+00,-384.0063E-03
-8.0000E-03,+2.0169687E+00,-382.4438E-03
-7.8000E-03,+2.0560312E+00,-380.4906E-03
-7.6000E-03,+2.0990000E+00,-378.5375E-03
-7.4000E-03,+2.1380625E+00,-375.8031E-03
-7.2000E-03,+2.1810312E+00,-373.4594E-03
-7.0000E-03,+2.2240000E+00,-370.7250E-03
-6.8000E-03,+2.2669687E+00,-367.9906E-03
-6.6000E-03,+2.3060312E+00,-364.0844E-03
