second,Volt,Volt
-27.8000E-03,+1.2620001E+00,+295.6250E-03
-27.6000E-03,+1.1995001E+00,+289.3750E-03
-27.4000E-03,+1.1682501E+00,+283.1250E-03
-27.2000E-03,+1.1057501E+00,+280.0000E-03
-27.0000E-03,+1.1370001E+00,+273.7500E-03
-26.8000E-03,+1.0432501E+00,+270.6250E-03
-26.6000E-03,+949.5001E-03,+261.2500E-03
-26.4000E-03,+949.5001E-03,+258.1250E-03
-26.2000E-03,+918.2501E-03,+251.8750E-03
-26.0000E-03,+855.7501E-03,+245.6250E-03
-25.8000E-03,+824.5001E-03,+236.2500E-03
-25.6000E-03,+793.2501E-03,+230.0000E-03
-25.4000E-03,+730.7501E-03,+226.8750E-03
-25.2000E-03,+668.2501E-03,+217.5000E-03
-25.0000E-03,+668.2501E-03,+208.1250E-03
-24.8000E-03,+637.0001E-03,+201.8750E-03
-24.6000E-03,+605.7501E-03,+195.6250E-03
-24.4000E-03,+543.2501E-03,+186.2500E-03
-24.2000E-03,+543.2501E-03,+180.0000E-03
-24.0000E-03,+449.5001E-03,+173.7500E-03
-23.8000E-03,+418.2501E-03,+164.3750E-03
-23.6000E-03,+418.2501E-03,+155.0000E-03
-23.4000E-03,+387.0001E-03,+148.7500E-03
-23.2000E-03,+324.5001E-03,+142.5000E-03
-23.0000E-03,+230.7501E-03,+133.1250E-03
-22.8000E-03,+199.5001E-03,+123.7500E-03
-22.6000E-03,+230.7501E-03,+120.6250E-03
-22.4000E-03,+168.2501E-03,+111.2500E-03
-22.2000E-03,+137.0001E-03,+105.0000E-03
-22.0000E-03,+137.0001E-03,+95.6250E-03
-21.8000E-03,+74.5001E-03,+86.2500E-03
-21.6000E-03,+43.2501E-03,+80.0000E-03
-21.4000E-03,+74.5001E-03,+73.7500E-03
-21.2000E-03,+12.0001E-03,+64.3750E-03
-21.0000E-03,-50.4999E-03,+55.0000E-03
-20.8000E-03,-50.4999E-03,+45.6250E-03
-20.6000E-03,-81.7499E-03,+36.2500E-03
-20.4000E-03,-144.2499E-03,+33.1250E-03
-20.2000E-03,-175.4999E-03,+26.8750E-03
-20.0000E-03,-175.4999E-03,+20.6250E-03
-19.8000E-03,-237.9999E-03,+11.2500E-03
-19.6000E-03,-269.2499E-03,+5.0000E-03
-19.4000E-03,-237.9999E-03,-4.3750E-03
-19.2000E-03,-269.2499E-03,-10.6250E-03
-19.0000E-03,-300.4999E-03,-20.0000E-03
-18.8000E-03,-362.9999E-03,-26.2500E-03
-18.6000E-03,-362.9999E-03,-35.6250E-03
-18.4000E-03,-394.2499E-03,-38.7500E-03
-18.2000E-03,-362.9999E-03,-48.1250E-03
-18.0000E-03,-425.4999E-03,-54.3750E-03
-17.8000E-03,-456.7499E-03,-60.6250E-03
-17.6000E-03,-456.7499E-03,-66.8750E-03
-17.4000E-03,-487.9999E-03,-76.2500E-03
-17.2000E-03,-487.9999E-03,-82.5000E-03
-17.0000E-03,-487.9999E-03,-88.7500E-03
-16.8000E-03,-487.9999E-03,-98.1250E-03
-16.6000E-03,-487.9999E-03,-104.3750E-03
-16.4000E-03,-581.7499E-03,-113.7500E-03
-16.2000E-03,-550.4999E-03,-120.0000E-03
-16.0000E-03,-550.4999E-03,-126.2500E-03
-15.8000E-03,-550.4999E-03,-132.5000E-03
-15.6000E-03,-550.4999E-03,-141.8750E-03
-15.4000E-03,-581.7499E-03,-145.0000E-03
-15.2000E-03,-581.7499E-03,-151.2500E-03
-15.0000E-03,-581.7499E-03,-157.5000E-03
-14.8000E-03,-644.2499E-03,-163.7500E-03
-14.6000E-03,-612.9999E-03,-170.0000E-03
-14.4000E-03,-612.9999E-03,-179.3750E-03
-14.2000E-03,-612.9999E-03,-185.6250E-03
-14.0000E-03,-612.9999E-03,-188.7500E-03
-13.8000E-03,-581.7499E-03,-198.1250E-03
-13.6000E-03,-644.2499E-03,-201.2500E-03
-13.4000E-03,-612.9999E-03,-204.3750E-03
-13.2000E-03,-612.9999E-03,-213.7500E-03
-13.0000E-03,-581.7499E-03,-216.8750E-03
-12.8000E-03,-581.7499E-03,-223.1250E-03
-12.6000E-03,-581.7499E-03,-229.3750E-03
-12.4000E-03,-612.9999E-03,-232.5000E-03
-12.2000E-03,-581.7499E-03,-238.7500E-03
-12.0000E-03,-612.9999E-03,-245.0000E-03
-11.8000E-03,-550.4999E-03,-248.1250E-03
-11.6000E-03,-550.4999E-03,-254.3750E-03
-11.4000E-03,-550.4999E-03,-260.6250E-03
-11.2000E-03,-519.2499E-03,-266.8750E-03
-11.0000E-03,-519.2499E-03,-270.0000E-03
-10.8000E-03,-487.9999E-03,-273.1250E-03
-10.6000E-03,-487.9999E-03,-279.3750E-03
-10.4000E-03,-456.7499E-03,-282.5000E-03
-10.2000E-03,-456.7499E-03,-288.7500E-03
-10.0000E-03,-425.4999E-03,-291.8750E-03
-9.8000E-03,-394.2499E-03,-295.0000E-03
-9.6000E-03,-394.2499E-03,-298.1250E-03
-9.4000E-03,-394.2499E-03,-304.3750E-03
-9.2000E-03,-362.9999E-03,-304.3750E-03
-9.0000E-03,-331.7499E-03,-310.6250E-03
-8.8000E-03,-331.7499E-03,-310.6250E-03
-8.6000E-03,-300.4999E-03,-313.7500E-03
-8.4000E-03,-300.4999E-03,-320.0000E-03
-8.2000E-03,-269.2499E-03,-320.0000E-03
-8.0000E-03,-269.2499E-03,-323.1250E-03
-7.8000E-03,-206.7499E-03,-326.2500E-03
-7.6000E-03,-175.4999E-03,-329.3750E-03
-7.4000E-03,-175.4999E-03,-329.3750E-03
-7.2000E-03,-144.2499E-03,-332.5000E-03
-7.0000E-03,-112.9999E-03,-332.5000E-03
-6.8000E-03,-81.7499E-03,-335.6250E-03
-6.6000E-03,-50.4999E-03,-332.5000E-03
-6.4000E-03,+12.0001E-03,-335.6250E-03
-6.2000E-03,+43.2501E-03,-332.5000E-03
-6.0000E-03,+74.5001E-03,-338.7500E-03
-5.8000E-03,+105.7501E-03,-338.7500E-03
-5.6000E-03,+105.7501E-03,-338.7500E-03
-5.4000E-03,+137.0001E-03,-335.6250E-03
-5.2000E-03,+199.5001E-03,-338.7500E-03
-5.0000E-03,+230.7501E-03,-335.6250E-03
-4.8000E-03,+262.0001E-03,-335.6250E-03
-4.6000E-03,+293.2501E-03,-332.5000E-03
-4.4000E-03,+324.5001E-03,-338.7500E-03
-4.2000E-03,+387.0001E-03,-335.6250E-03
-4.0000E-03,+418.2501E-03,-332.5000E-03
-3.8000E-03,+480.7501E-03,-326.2500E-03
-3.6000E-03,+512.0001E-03,-326.2500E-03
-3.4000E-03,+543.2501E-03,-323.1250E-03
-3.2000E-03,+574.5001E-03,-316.8750E-03
-3.0000E-03,+574.5001E-03,-313.7500E-03
