Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 16:35:50 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,0,6)
Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
113   0.09228   -0.01294   -45.37151   -0.03338   0.09228   -0.01294   -0.99777   -0.06671   101.01013
114   0.09242   -0.01331   -45.38211   -0.03451   0.09242   -0.01331   -0.99753   -0.06897   101.06812
115   0.09245   -0.01410   -45.40488   -0.03454   0.09245   -0.01410   -0.99756   -0.06903   101.18713
116   0.09256   -0.01434   -45.41187   -0.03395   0.09256   -0.01434   -0.99762   -0.06784   101.12610
117   0.09265   -0.01425   -45.40924   -0.03390   0.09265   -0.01425   -0.99762   -0.06775   101.04675
118   0.09268   -0.01343   -45.38562   -0.03459   0.09268   -0.01343   -0.99753   -0.06912   101.16272
119   0.09261   -0.01154   -45.33127   -0.03494   0.09261   -0.01154   -0.99759   -0.06983   101.15662
120   0.09266   -0.01166   -45.33478   -0.03447   0.09266   -0.01166   -0.99756   -0.06888   101.10474
121   0.09271   -0.00989   -45.28396   -0.03474   0.09271   -0.00989   -0.99753   -0.06943   101.09558
122   0.09263   -0.00909   -45.26111   -0.03381   0.09263   -0.00909   -0.99777   -0.06757   101.14441
123   0.09268   -0.00806   -45.23134   -0.03357   0.09268   -0.00806   -0.99771   -0.06708   101.09558
124   0.09256   -0.00555   -45.15948   -0.03370   0.09256   -0.00555   -0.99774   -0.06735   101.07727
125   0.09250   -0.00592   -45.16999   -0.03364   0.09250   -0.00592   -0.99774   -0.06723   101.16577
126   0.09235   -0.00549   -45.15773   -0.03373   0.09235   -0.00549   -0.99774   -0.06742   101.12000
127   0.09234   -0.00510   -45.14634   -0.03392   0.09234   -0.00510   -0.99771   -0.06778   101.06812
128   0.09223   -0.00464   -45.13319   -0.03336   0.09223   -0.00464   -0.99780   -0.06668   101.11084
