Time (ns)	Amplitude (dB/mm)	
-4.04177622E+000	-1.00114997E+002	
-4.02106291E+000	-9.90685444E+001	
-4.00034961E+000	-9.96859854E+001	
-3.97963630E+000	-9.96355680E+001	
-3.95892299E+000	-9.97638759E+001	
-3.93820969E+000	-9.79214192E+001	
-3.91749638E+000	-9.99698825E+001	
-3.89678308E+000	-9.84790381E+001	
-3.87606977E+000	-9.98903137E+001	
-3.85535647E+000	-9.98724165E+001	
-3.83464316E+000	-9.87339389E+001	
-3.81392986E+000	-9.87270023E+001	
-3.79321655E+000	-9.89827978E+001	
-3.77250325E+000	-9.84135864E+001	
-3.75178994E+000	-9.88260575E+001	
-3.73107664E+000	-9.95175160E+001	
-3.71036333E+000	-9.96465776E+001	
-3.68965003E+000	-9.92367488E+001	
-3.66893672E+000	-9.90263014E+001	
-3.64822342E+000	-9.88553666E+001	
-3.62751011E+000	-9.85017426E+001	
-3.60679680E+000	-9.93233719E+001	
-3.58608350E+000	-9.86284220E+001	
-3.56537019E+000	-9.96482158E+001	
-3.54465689E+000	-9.87615850E+001	
-3.52394358E+000	-9.85295046E+001	
-3.50323028E+000	-1.00026005E+002	
-3.48251697E+000	-9.88393276E+001	
-3.46180367E+000	-9.84783621E+001	
-3.44109036E+000	-9.98438836E+001	
-3.42037706E+000	-9.99891147E+001	
-3.39966375E+000	-9.91796878E+001	
-3.37895045E+000	-9.84669762E+001	
-3.35823714E+000	-1.00317585E+002	
-3.33752384E+000	-9.93812170E+001	
-3.31681053E+000	-9.89747268E+001	
-3.29609722E+000	-9.92438504E+001	
-3.27538392E+000	-9.99617591E+001	
-3.25467061E+000	-9.92153122E+001	
-3.23395731E+000	-1.00305422E+002	
-3.21324400E+000	-9.98788391E+001	
-3.19253070E+000	-9.98993506E+001	
-3.17181739E+000	-9.98458973E+001	
-3.15110409E+000	-1.00683745E+002	
-3.13039078E+000	-9.82855901E+001	
-3.10967748E+000	-9.95785221E+001	
-3.08896417E+000	-9.88490882E+001	
-3.06825087E+000	-9.89936530E+001	
-3.04753756E+000	-9.87614109E+001	
-3.02682426E+000	-9.92896525E+001	
-3.00611095E+000	-9.92586479E+001	
-2.98539764E+000	-9.96260921E+001	
-2.96468434E+000	-9.84306341E+001	
-2.94397103E+000	-9.98125040E+001	
-2.92325773E+000	-9.94897582E+001	
-2.90254442E+000	-9.79096984E+001	
-2.88183112E+000	-9.95990631E+001	
-2.86111781E+000	-1.00404639E+002	
-2.84040451E+000	-9.93681894E+001	
