Time (ns)	Amplitude (dB/mm)	
-4.51818224E+000	-9.44570288E+001	
-4.49746893E+000	-9.39260763E+001	
-4.47675563E+000	-9.55141378E+001	
-4.45604232E+000	-9.57311135E+001	
-4.43532902E+000	-9.43825624E+001	
-4.41461571E+000	-9.44913498E+001	
-4.39390241E+000	-9.43513972E+001	
-4.37318910E+000	-9.52011172E+001	
-4.35247580E+000	-9.48040225E+001	
-4.33176249E+000	-9.58210101E+001	
-4.31104919E+000	-9.42765812E+001	
-4.29033588E+000	-9.63573625E+001	
-4.26962257E+000	-9.48661729E+001	
-4.24890927E+000	-9.45369078E+001	
-4.22819596E+000	-9.50629482E+001	
-4.20748266E+000	-9.46535785E+001	
-4.18676935E+000	-9.47040309E+001	
-4.16605605E+000	-9.48473573E+001	
-4.14534274E+000	-9.48243297E+001	
-4.12462944E+000	-9.58516280E+001	
-4.10391613E+000	-9.39714586E+001	
-4.08320283E+000	-9.40893651E+001	
-4.06248952E+000	-9.54737364E+001	
-4.04177622E+000	-9.55943004E+001	
-4.02106291E+000	-9.56425073E+001	
-4.00034961E+000	-9.52789848E+001	
-3.97963630E+000	-9.52790795E+001	
-3.95892299E+000	-9.54363547E+001	
-3.93820969E+000	-9.52286829E+001	
-3.91749638E+000	-9.60541072E+001	
-3.89678308E+000	-9.49202091E+001	
-3.87606977E+000	-9.52402394E+001	
-3.85535647E+000	-9.60183478E+001	
-3.83464316E+000	-9.51809428E+001	
-3.81392986E+000	-9.48672467E+001	
-3.79321655E+000	-9.52377566E+001	
-3.77250325E+000	-9.40454832E+001	
-3.75178994E+000	-9.54070335E+001	
-3.73107664E+000	-9.50985713E+001	
-3.71036333E+000	-9.59637506E+001	
-3.68965003E+000	-9.45223373E+001	
-3.66893672E+000	-9.53775940E+001	
-3.64822342E+000	-9.55885105E+001	
-3.62751011E+000	-9.50996451E+001	
-3.60679680E+000	-9.58507502E+001	
-3.58608350E+000	-9.43696093E+001	
-3.56537019E+000	-9.56654385E+001	
-3.54465689E+000	-9.46669848E+001	
-3.52394358E+000	-9.50348947E+001	
-3.50323028E+000	-9.60577685E+001	
-3.48251697E+000	-9.51255681E+001	
-3.46180367E+000	-9.49199164E+001	
-3.44109036E+000	-9.44217640E+001	
-3.42037706E+000	-9.55720028E+001	
-3.39966375E+000	-9.49306918E+001	
-3.37895045E+000	-9.46239019E+001	
-3.35823714E+000	-9.55835193E+001	
-3.33752384E+000	-9.51904019E+001	
-3.31681053E+000	-9.57049539E+001	
-3.29609722E+000	-9.52801966E+001	
