Time (ns)	Amplitude (dB/mm)	
-5.16029470E+000	-9.52746185E+001	
-5.13958140E+000	-9.56623456E+001	
-5.11886809E+000	-9.63186621E+001	
-5.09815479E+000	-9.38327944E+001	
-5.07744148E+000	-9.43678719E+001	
-5.05672818E+000	-9.38641128E+001	
-5.03601487E+000	-9.37046340E+001	
-5.01530157E+000	-9.54956160E+001	
-4.99458826E+000	-9.42722793E+001	
-4.97387496E+000	-9.47638403E+001	
-4.95316165E+000	-9.41925181E+001	
-4.93244834E+000	-9.37944210E+001	
-4.91173504E+000	-9.37177798E+001	
-4.89102173E+000	-9.45800954E+001	
-4.87030843E+000	-9.37943546E+001	
-4.84959512E+000	-9.42671202E+001	
-4.82888182E+000	-9.44903156E+001	
-4.80816851E+000	-9.36699614E+001	
-4.78745521E+000	-9.52381737E+001	
-4.76674190E+000	-9.46444028E+001	
-4.74602860E+000	-9.46885153E+001	
-4.72531529E+000	-9.46242232E+001	
-4.70460199E+000	-9.48299377E+001	
-4.68388868E+000	-9.40732522E+001	
-4.66317538E+000	-9.38881179E+001	
-4.64246207E+000	-9.39990684E+001	
-4.62174877E+000	-9.53824262E+001	
-4.60103546E+000	-9.37263952E+001	
-4.58032215E+000	-9.40016739E+001	
-4.55960885E+000	-9.31357988E+001	
-4.53889554E+000	-9.47448213E+001	
-4.51818224E+000	-9.44133268E+001	
-4.49746893E+000	-9.35052912E+001	
-4.47675563E+000	-9.41354568E+001	
-4.45604232E+000	-9.52605574E+001	
-4.43532902E+000	-9.42147108E+001	
-4.41461571E+000	-9.46982663E+001	
-4.39390241E+000	-9.47895719E+001	
-4.37318910E+000	-9.39568008E+001	
-4.35247580E+000	-9.39330508E+001	
-4.33176249E+000	-9.51971720E+001	
-4.31104919E+000	-9.46804688E+001	
-4.29033588E+000	-9.37209264E+001	
-4.26962257E+000	-9.46243710E+001	
-4.24890927E+000	-9.34091007E+001	
-4.22819596E+000	-9.44722264E+001	
-4.20748266E+000	-9.36494877E+001	
-4.18676935E+000	-9.52106655E+001	
-4.16605605E+000	-9.48874423E+001	
-4.14534274E+000	-9.42967246E+001	
-4.12462944E+000	-9.49956173E+001	
-4.10391613E+000	-9.49792836E+001	
-4.08320283E+000	-9.41588148E+001	
-4.06248952E+000	-9.49781321E+001	
-4.04177622E+000	-9.31292783E+001	
-4.02106291E+000	-9.40947093E+001	
-4.00034961E+000	-9.42698654E+001	
-3.97963630E+000	-9.40461577E+001	
-3.95892299E+000	-9.48382549E+001	
-3.93820969E+000	-9.35091057E+001	
-3.91749638E+000	-9.64144357E+001	
-3.89678308E+000	-9.41297026E+001	
-3.87606977E+000	-9.50525344E+001	
-3.85535647E+000	-9.46345712E+001	
-3.83464316E+000	-9.32059582E+001	
-3.81392986E+000	-9.49655448E+001	
-3.79321655E+000	-9.47629829E+001	
-3.77250325E+000	-9.40589961E+001	
-3.75178994E+000	-9.40131831E+001	
-3.73107664E+000	-9.41458086E+001	
-3.71036333E+000	-9.47745388E+001	
-3.68965003E+000	-9.51314977E+001	
-3.66893672E+000	-9.45838845E+001	
-3.64822342E+000	-9.44008886E+001	
-3.62751011E+000	-9.41008445E+001	
-3.60679680E+000	-9.40651458E+001	
-3.58608350E+000	-9.35212290E+001	
-3.56537019E+000	-9.48381486E+001	
-3.54465689E+000	-9.50468555E+001	
-3.52394358E+000	-9.48265479E+001	
-3.50323028E+000	-9.48438565E+001	
-3.48251697E+000	-9.41362651E+001	
-3.46180367E+000	-9.47710477E+001	
-3.44109036E+000	-9.39780093E+001	
-3.42037706E+000	-9.49877693E+001	
-3.39966375E+000	-9.43807312E+001	
-3.37895045E+000	-9.39136619E+001	
-3.35823714E+000	-9.54087349E+001	
-3.33752384E+000	-9.45886325E+001	
-3.31681053E+000	-9.45139090E+001	
-3.29609722E+000	-9.47737076E+001	
-3.27538392E+000	-9.47798779E+001	
-3.25467061E+000	-9.46365227E+001	
-3.23395731E+000	-9.40674807E+001	
-3.21324400E+000	-9.49671252E+001	
-3.19253070E+000	-9.40743351E+001	
-3.17181739E+000	-9.50946561E+001	
-3.15110409E+000	-9.61377293E+001	
-3.13039078E+000	-9.41850154E+001	
-3.10967748E+000	-9.46120915E+001	
-3.08896417E+000	-9.36854776E+001	
-3.06825087E+000	-9.41314372E+001	
-3.04753756E+000	-9.38156946E+001	
-3.02682426E+000	-9.49539076E+001	
-3.00611095E+000	-9.53400891E+001	
-2.98539764E+000	-9.41294951E+001	
-2.96468434E+000	-9.39010916E+001	
-2.94397103E+000	-9.49089516E+001	
-2.92325773E+000	-9.46238071E+001	
-2.90254442E+000	-9.30295043E+001	
-2.88183112E+000	-9.59450917E+001	
-2.86111781E+000	-9.44924303E+001	
-2.84040451E+000	-9.38713618E+001	
-2.81969120E+000	-9.35898120E+001	
-2.79897790E+000	-9.50494798E+001	
-2.77826459E+000	-9.38883103E+001	
-2.75755129E+000	-9.39573313E+001	
-2.73683798E+000	-9.39215933E+001	
-2.71612468E+000	-9.42259862E+001	
-2.69541137E+000	-9.43691345E+001	
-2.67469807E+000	-9.32970105E+001	
-2.65398476E+000	-9.54890766E+001	
-2.63327145E+000	-9.49029817E+001	
-2.61255815E+000	-9.55629508E+001	
-2.59184484E+000	-9.35333869E+001	
-2.57113154E+000	-9.56552653E+001	
-2.55041823E+000	-9.47643520E+001	
-2.52970493E+000	-9.50265108E+001	
-2.50899162E+000	-9.46783336E+001	
-2.48827832E+000	-9.27159583E+001	
-2.46756501E+000	-9.46912626E+001	
-2.44685171E+000	-9.38296073E+001	
-2.42613840E+000	-9.42940753E+001	
-2.40542510E+000	-9.30556161E+001	
-2.38471179E+000	-9.49255723E+001	
-2.36399849E+000	-9.49817976E+001	
-2.34328518E+000	-9.58719045E+001	
-2.32257187E+000	-9.42896652E+001	
-2.30185857E+000	-9.49471098E+001	
-2.28114526E+000	-9.50719998E+001	
-2.26043196E+000	-9.49215545E+001	
-2.23971865E+000	-9.51492368E+001	
-2.21900535E+000	-9.53319342E+001	
-2.19829204E+000	-9.55908860E+001	
-2.17757874E+000	-9.49805285E+001	
-2.15686543E+000	-9.51527577E+001	
-2.13615213E+000	-9.53990438E+001	
-2.11543882E+000	-9.42758847E+001	
-2.09472552E+000	-9.47820965E+001	
-2.07401221E+000	-9.57759259E+001	
-2.05329891E+000	-9.41475853E+001	
-2.03258560E+000	-9.46405831E+001	
-2.01187229E+000	-9.67178455E+001	
-1.99115899E+000	-9.54292762E+001	
-1.97044568E+000	-9.53048116E+001	
-1.94973238E+000	-9.34691657E+001	
-1.92901907E+000	-9.56902129E+001	
-1.90830577E+000	-9.49028920E+001	
-1.88759246E+000	-9.44728833E+001	
-1.86687916E+000	-9.44242796E+001	
-1.84616585E+000	-9.50916966E+001	
-1.82545255E+000	-9.43345991E+001	
-1.80473924E+000	-9.47833070E+001	
-1.78402594E+000	-9.51738765E+001	
-1.76331263E+000	-9.49341841E+001	
-1.74259933E+000	-9.43757882E+001	
-1.72188602E+000	-9.33678692E+001	
-1.70117272E+000	-9.36297653E+001	
-1.68045941E+000	-9.47422184E+001	
-1.65974610E+000	-9.51239291E+001	
-1.63903280E+000	-9.35649754E+001	
-1.61831949E+000	-9.54575223E+001	
-1.59760619E+000	-9.41315165E+001	
-1.57689288E+000	-9.34678107E+001	
-1.55617958E+000	-9.39906874E+001	
-1.53546627E+000	-9.59147590E+001	
-1.51475297E+000	-9.44288264E+001	
-1.49403966E+000	-9.33283521E+001	
-1.47332636E+000	-9.50591125E+001	
-1.45261305E+000	-9.47078020E+001	
-1.43189975E+000	-9.46939275E+001	
-1.41118644E+000	-9.50745372E+001	
-1.39047314E+000	-9.48073550E+001	
-1.36975983E+000	-9.52036649E+001	
-1.34904652E+000	-9.49704116E+001	
-1.32833322E+000	-9.34077646E+001	
-1.30761991E+000	-9.41899205E+001	
-1.28690661E+000	-9.46840947E+001	
-1.26619330E+000	-9.44752990E+001	
-1.24548000E+000	-9.52289023E+001	
-1.22476669E+000	-9.38974543E+001	
-1.20405339E+000	-9.40418214E+001	
-1.18334008E+000	-9.49561864E+001	
-1.16262678E+000	-9.51833833E+001	
-1.14191347E+000	-9.47125079E+001	
-1.12120017E+000	-9.41544654E+001	
-1.10048686E+000	-9.38323269E+001	
-1.07977356E+000	-9.33855239E+001	
-1.05906025E+000	-9.44936764E+001	
-1.03834694E+000	-9.46786484E+001	
-1.01763364E+000	-9.61241238E+001	
-9.96920334E-001	-9.34968202E+001	
-9.76207029E-001	-9.36675419E+001	
-9.55493724E-001	-9.46610647E+001	
-9.34780418E-001	-9.44009739E+001	
-9.14067113E-001	-9.49253277E+001	
-8.93353808E-001	-9.38011820E+001	
-8.72640502E-001	-9.49524862E+001	
-8.51927197E-001	-9.38549253E+001	
-8.31213892E-001	-9.64766523E+001	
-8.10500586E-001	-9.49418623E+001	
-7.89787281E-001	-9.42370908E+001	
-7.69073976E-001	-9.38539341E+001	
-7.48360671E-001	-9.30545968E+001	
-7.27647365E-001	-9.36960499E+001	
-7.06934060E-001	-9.45913330E+001	
-6.86220755E-001	-9.38730358E+001	
-6.65507449E-001	-9.32480104E+001	
-6.44794144E-001	-9.54577691E+001	
-6.24080839E-001	-9.42898967E+001	
-6.03367533E-001	-9.48271641E+001	
-5.82654228E-001	-9.50530258E+001	
-5.61940923E-001	-9.45568731E+001	
-5.41227617E-001	-9.48022784E+001	
-5.20514312E-001	-9.46566558E+001	
-4.99801007E-001	-9.46881723E+001	
-4.79087701E-001	-9.45452303E+001	
-4.58374396E-001	-9.40646537E+001	
-4.37661091E-001	-9.49632761E+001	
-4.16947785E-001	-9.38838627E+001	
-3.96234480E-001	-9.48674246E+001	
-3.75521175E-001	-9.47911018E+001	
-3.54807869E-001	-9.53114531E+001	
-3.34094564E-001	-9.47301255E+001	
-3.13381259E-001	-9.42782086E+001	
-2.92667954E-001	-9.43423135E+001	
-2.71954648E-001	-9.47354122E+001	
-2.51241343E-001	-9.48285428E+001	
-2.30528038E-001	-9.39989696E+001	
-2.09814732E-001	-9.51459404E+001	
-1.89101427E-001	-9.34965786E+001	
-1.68388122E-001	-9.40169932E+001	
-1.47674816E-001	-9.43025207E+001	
-1.26961511E-001	-9.46904854E+001	
-1.06248206E-001	-9.52884405E+001	
-8.55349003E-002	-9.49984168E+001	
-6.48215950E-002	-9.49812658E+001	
-4.41082897E-002	-9.52529067E+001	
-2.33949844E-002	-9.38521526E+001	
-2.68167905E-003	-6.19145644E+001	
1.80316263E-002	-9.44420311E+001	
3.87449316E-002	-9.44362026E+001	
5.94582369E-002	-9.51521325E+001	
8.01715422E-002	-9.53327066E+001	
1.00884848E-001	-9.41255411E+001	
1.21598153E-001	-9.46681609E+001	
1.42311458E-001	-9.44316719E+001	
1.63024763E-001	-9.49255583E+001	
1.83738069E-001	-9.48704934E+001	
2.04451374E-001	-9.50271152E+001	
2.25164679E-001	-9.49895676E+001	
2.45877985E-001	-9.48306475E+001	
2.66591290E-001	-9.44343004E+001	
2.87304595E-001	-9.43238028E+001	
3.08017901E-001	-9.53763916E+001	
3.28731206E-001	-9.33476903E+001	
3.49444511E-001	-9.48096905E+001	
3.70157817E-001	-9.42376008E+001	
3.90871122E-001	-9.55296781E+001	
4.11584427E-001	-9.32314137E+001	
4.32297733E-001	-9.45532421E+001	
4.53011038E-001	-9.46049360E+001	
4.73724343E-001	-9.39244056E+001	
4.94437649E-001	-9.40203250E+001	
5.15150954E-001	-9.45492886E+001	
5.35864259E-001	-9.42370705E+001	
5.56577565E-001	-9.50983936E+001	
5.77290870E-001	-9.59094249E+001	
5.98004175E-001	-9.41390171E+001	
6.18717481E-001	-9.39087069E+001	
6.39430786E-001	-9.45485976E+001	
6.60144091E-001	-9.47747115E+001	
6.80857396E-001	-9.32375092E+001	
7.01570702E-001	-9.48020809E+001	
7.22284007E-001	-9.40976287E+001	
7.42997312E-001	-9.43047866E+001	
7.63710618E-001	-9.39990461E+001	
7.84423923E-001	-9.47072445E+001	
8.05137228E-001	-9.41811413E+001	
8.25850534E-001	-9.41950867E+001	
8.46563839E-001	-9.37985212E+001	
8.67277144E-001	-9.41566497E+001	
8.87990450E-001	-9.42085204E+001	
9.08703755E-001	-9.33363808E+001	
9.29417060E-001	-9.48059905E+001	
9.50130366E-001	-9.46096726E+001	
9.70843671E-001	-9.44315617E+001	
9.91556976E-001	-9.32410771E+001	
1.01227028E+000	-9.31065506E+001	
1.03298359E+000	-9.42839863E+001	
1.05369689E+000	-9.34321102E+001	
1.07441020E+000	-9.50600807E+001	
1.09512350E+000	-9.52339205E+001	
1.11583681E+000	-9.51488197E+001	
1.13655011E+000	-9.51590510E+001	
1.15726342E+000	-9.56211942E+001	
1.17797672E+000	-9.49251649E+001	
1.19869003E+000	-9.38259283E+001	
1.21940333E+000	-9.44805071E+001	
1.24011664E+000	-9.44522358E+001	
1.26082995E+000	-9.40129324E+001	
1.28154325E+000	-9.41842651E+001	
1.30225656E+000	-9.41001360E+001	
1.32296986E+000	-9.48265719E+001	
1.34368317E+000	-9.42096810E+001	
1.36439647E+000	-9.42607733E+001	
1.38510978E+000	-9.46663578E+001	
1.40582308E+000	-9.46983541E+001	
1.42653639E+000	-9.38300910E+001	
1.44724969E+000	-9.35744109E+001	
1.46796300E+000	-9.54265059E+001	
1.48867630E+000	-9.38472573E+001	
1.50938961E+000	-9.43528366E+001	
1.53010291E+000	-9.35861002E+001	
1.55081622E+000	-9.47665606E+001	
1.57152953E+000	-9.43428860E+001	
1.59224283E+000	-9.42529923E+001	
1.61295614E+000	-9.48262730E+001	
1.63366944E+000	-9.39279307E+001	
1.65438275E+000	-9.61483765E+001	
1.67509605E+000	-9.39531561E+001	
1.69580936E+000	-9.41239950E+001	
1.71652266E+000	-9.42137363E+001	
1.73723597E+000	-9.42020291E+001	
1.75794927E+000	-9.45935879E+001	
1.77866258E+000	-9.45090323E+001	
1.79937588E+000	-9.33629500E+001	
1.82008919E+000	-9.31658297E+001	
1.84080249E+000	-9.41991424E+001	
1.86151580E+000	-9.43735688E+001	
1.88222910E+000	-9.41136248E+001	
1.90294241E+000	-9.52611385E+001	
1.92365572E+000	-9.45103295E+001	
1.94436902E+000	-9.57747969E+001	
1.96508233E+000	-9.42488498E+001	
1.98579563E+000	-9.49307054E+001	
2.00650894E+000	-9.43521118E+001	
2.02722224E+000	-9.45819661E+001	
2.04793555E+000	-9.35863852E+001	
2.06864885E+000	-9.42540175E+001	
2.08936216E+000	-9.35288403E+001	
2.11007546E+000	-9.39492654E+001	
2.13078877E+000	-9.42899270E+001	
2.15150207E+000	-9.48825988E+001	
2.17221538E+000	-9.35894489E+001	
2.19292868E+000	-9.47130900E+001	
2.21364199E+000	-9.38748644E+001	
2.23435530E+000	-9.44899483E+001	
2.25506860E+000	-9.47716223E+001	
2.27578191E+000	-9.39433197E+001	
2.29649521E+000	-9.33693909E+001	
2.31720852E+000	-9.41695976E+001	
2.33792182E+000	-9.42960252E+001	
2.35863513E+000	-9.53095632E+001	
2.37934843E+000	-9.47123794E+001	
2.40006174E+000	-9.43706632E+001	
2.42077504E+000	-9.35188332E+001	
2.44148835E+000	-9.37309814E+001	
2.46220165E+000	-9.37907332E+001	
2.48291496E+000	-9.42919848E+001	
2.50362826E+000	-9.45887122E+001	
2.52434157E+000	-9.35083746E+001	
2.54505488E+000	-9.49258611E+001	
2.56576818E+000	-9.52997157E+001	
2.58648149E+000	-9.44904765E+001	
2.60719479E+000	-9.40542505E+001	
2.62790810E+000	-9.45776595E+001	
2.64862140E+000	-9.45376978E+001	
2.66933471E+000	-9.47524320E+001	
2.69004801E+000	-9.56530179E+001	
2.71076132E+000	-9.35172327E+001	
2.73147462E+000	-9.45229722E+001	
2.75218793E+000	-9.41660660E+001	
2.77290123E+000	-9.44020711E+001	
2.79361454E+000	-9.47125065E+001	
2.81432784E+000	-9.45958105E+001	
2.83504115E+000	-9.49812235E+001	
2.85575445E+000	-9.40000223E+001	
2.87646776E+000	-9.44665177E+001	
2.89718107E+000	-9.54564567E+001	
2.91789437E+000	-9.38733593E+001	
2.93860768E+000	-9.45946991E+001	
2.95932098E+000	-9.39418025E+001	
2.98003429E+000	-9.48644816E+001	
3.00074759E+000	-9.41164010E+001	
3.02146090E+000	-9.43338027E+001	
3.04217420E+000	-9.39614183E+001	
3.06288751E+000	-9.38529969E+001	
3.08360081E+000	-9.31566915E+001	
3.10431412E+000	-9.48668737E+001	
3.12502742E+000	-9.46095264E+001	
3.14574073E+000	-9.51309994E+001	
3.16645403E+000	-9.48268115E+001	
3.18716734E+000	-9.52018996E+001	
3.20788065E+000	-9.48039506E+001	
3.22859395E+000	-9.53495289E+001	
3.24930726E+000	-9.43719390E+001	
3.27002056E+000	-9.41802534E+001	
3.29073387E+000	-9.45462566E+001	
3.31144717E+000	-9.48152459E+001	
3.33216048E+000	-9.56096644E+001	
3.35287378E+000	-9.36856503E+001	
3.37358709E+000	-9.52491904E+001	
3.39430039E+000	-9.40758019E+001	
3.41501370E+000	-9.36216407E+001	
3.43572700E+000	-9.44561668E+001	
3.45644031E+000	-9.42472109E+001	
3.47715361E+000	-9.46580217E+001	
3.49786692E+000	-9.58371169E+001	
3.51858023E+000	-9.56649150E+001	
3.53929353E+000	-9.39000636E+001	
3.56000684E+000	-9.46841200E+001	
3.58072014E+000	-9.57048505E+001	
3.60143345E+000	-9.41944865E+001	
3.62214675E+000	-9.39241837E+001	
3.64286006E+000	-9.38695857E+001	
3.66357336E+000	-9.43706744E+001	
3.68428667E+000	-9.45662435E+001	
3.70499997E+000	-9.39316767E+001	
3.72571328E+000	-9.44332630E+001	
3.74642658E+000	-9.37918710E+001	
3.76713989E+000	-9.40084072E+001	
3.78785319E+000	-9.44537330E+001	
3.80856650E+000	-9.47687172E+001	
3.82927980E+000	-9.38619462E+001	
3.84999311E+000	-9.47174749E+001	
3.87070642E+000	-9.43326683E+001	
3.89141972E+000	-9.42233830E+001	
